,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
158036,Compass-Group,2015-07-29, ATTENDANT UTILITY,Former Employee,"Perth, Western Australia, Western Australia",1,2.0,1.0,,1.0,2.0,1.0,x,x,x,Utility,Apart from the pay ( which is very tiny on a 2 and 1 site) there are no good things iI can think of about this company. I you value you mental wellbeing I would not work for this company.,"The downside of working for this company, the know exactly how to rip off there workers andget away with it by being able to manipulate the wording in the contracts that they get us to sign."
158074,Compass-Group,2015-09-20, Anonymous Employee,"Current Employee, more than 10 years","Perth, Western Australia, Western Australia",3,2.0,2.0,,3.0,3.0,,o,o,o,Logistics Manager,Periodical Training to the staff in timely manner. Providing opportunity  to the staff to obtain the promotion. Payments in time.  leave and time off can be availed  as per the schedule.,Senior Mangers are not reaching  to field staff. Chain of  command has not been followed as per the company Policy . Low level staff not getting appropriate support form the management in time.
158146,Compass-Group,2016-02-03, Security Officer,"Current Employee, more than 8 years","Perth, Tasmania, Tasmania",3,3.0,3.0,,3.0,3.0,3.0,x,o,x,omega security,life style work two weeks have one week off,"away form the family, isolated"
158472,Compass-Group,2017-05-01, Fly,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",3,,,,,,,o,o,o,ESS - FIFO Utility - Australia,"Reliable  transportation and working conditions at the remote mine sites.  I worked in the kitchens,  cleaning living areas, and cleaning mine sites for 6 months with a working holiday visa. It was a great way to make some good money as a traveller.

They are quick to fly you back home if there's an emergency. While i was working in a remote mine site i found out a family member had died. The had me on a plane back home in less than 8 hours.","No chance of getting visa sponsorship. Two straight weeks on site with one week home is rough on friendships and relationships. I'll avoid fly-in-fly-out work in the future. 

There are often a few employees at each location that do as little work as possible.  not much you can do about that."
159116,Compass-Group,2019-03-04, Night Cook,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,5.0,,,5.0,,,v,o,o,Work hard,"Always  consistent work, good people",I haven't had any bad experiences
159476,Compass-Group,2020-01-09, Tradesman,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",1,3.0,1.0,,3.0,2.0,1.0,o,o,o,Below industry standard EBA,Lots of opportunities on different sites,Cost cutting starts with their employees entitlements
159532,Compass-Group,2020-03-02, Hospitality Associate,"Current Employee, more than 1 year","Victoria, BC",2,3.0,2.0,,2.0,3.0,2.0,x,r,r,Labour Intensive,Security Long Weekends Health Benefits,"long hours, low pay for how much work is  being done"
159579,Compass-Group,2020-04-21, Commercial Business Partner,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Commercial Business Partner,Variety of Responsibilities and Experience,Large Workload and hectic work schedule
159734,Compass-Group,2020-09-20, ICT Officer,Current Employee,"Perth, Western Australia, Western Australia",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Good,Provide up to date training for First safety,There are no any cons but not a full-time opportunity
159983,Compass-Group,2021-01-06, Utility Worker,Current Employee,"Perth, Western Australia, Western Australia",2,,,,,,,o,o,o,Utility Worker,"having one week off to enjoy, gets you into mining and having that FIFO experience.",not the best pay for the workload
159988,Compass-Group,2021-01-07, Utility Worker,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",4,3.0,2.0,5.0,3.0,3.0,4.0,x,r,v,Follow procedures and don't get hurt,Good salary. Some great coworkers.,"Too much paperwork, expected continually do more with less."
160006,Compass-Group,2021-01-15, Catering Assistant,Current Employee,"Perth, Western Australia, Western Australia",4,3.0,5.0,5.0,3.0,4.0,3.0,v,v,r,Great in ways,"Looks after employees, good facilities, updated","No good communication within site admin, not keeping up with standard protocols/procedures after training"
160238,Compass-Group,2021-03-30, Utlity,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",3,3.0,4.0,5.0,5.0,3.0,4.0,v,r,r,entry level fifo,"New experiences, foot in door to mining",Not many other than low income and roster options Being limited
160299,Compass-Group,2021-04-22, Commercial Director,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Compass Group Asia Pacific,Organized and professional company to work for,"Big company, sometimes talent is not recognized within"
160415,Cougar-Mountain,2020-06-29, Fromt Office/Volumteer Coordinator,"Former Employee, more than 1 year","Kilburn, South Australia",5,5.0,5.0,,3.0,3.0,4.0,v,r,r,Non profit with a heart of gold,"Family Atmosphere
Management understanding of employees needing time of
Awesome non profit","Conveying to volunteers that they are not staff and. As such , are not allowed in areas that state employees only"
166306,DHL-Supply-Chain,2019-07-07, Supervisor,Current Employee,"Erskine, Western Australia, Western Australia",3,2.0,4.0,,3.0,3.0,3.0,v,r,v,DHL Supply Chains number 1 priority is safety,"Meeting new people and building new relationships whether it be within the business or with our customers.
A lot of training is available to all employees including management because their is always something to learn and room for improvement",Nothing comes to mind at this point
166387,DHL-Supply-Chain,2019-09-03, Operations Specialist,"Current Employee, more than 5 years","Homebush, New South Wales, New South Wales",2,3.0,2.0,,2.0,2.0,1.0,x,v,v,DHL,Its a great company to work for,The pay is not so good tho
167195,DHL-Supply-Chain,2021-02-06, Storeperson,"Current Employee, less than 1 year","Homebush, New South Wales, New South Wales",3,5.0,5.0,5.0,5.0,5.0,5.0,o,v,o,Good Experience,Not getting Permanent Position after working 6 month,Good Management but some time feed it not enuff for casual worker
171830,Deloitte,2009-06-07, Senior Consultant,Current Employee,"Perth, Western Australia, Western Australia",4,3.0,,,3.0,1.0,3.0,v,v,o,Review of Perth Consulting,"Great culture, work hard, play hard
Smart young folk
Collegial
Partners party with you
Lots of good team work","Culture is diluting due to large headcount
ABSOLUTELY DISMAL PAY
Long long hours are not compensated
Lousy client mix in Perth. Mostly government. Not much exposure to blue chip clientele.
Tendency to get pigeomholed into a backfill role where it no longer becomes consulting."
174489,Deloitte,2012-11-13, Corporate Tax Analyst,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,2.0,5.0,,5.0,2.0,2.0,v,r,r,"Amazing culture, but some drawbacks","Good support for Masters of Tax or CA, amazing people to work with.
They support women and frequently promote them to senior levels.","Some senior management are sociopathic.
Pay is not good enough.
Tax work is boring."
174602,Deloitte,2012-12-14, Manager,Current Employee,"Perth, Western Australia, Western Australia",5,5.0,5.0,,5.0,3.0,5.0,v,r,v,The best career move I have ever made,Consulting in Australia: Dynamic work with sophisticated colleagues. Great respect for work-life balance and diversity. Mature workplace culture with excellent articulation and reinforcement of cultural expectations through the performance management process (see Seven Signals). Partnership group spends significant time understanding what drives staff and responding to attract and retain the best talent. Increasing trend of staff moving from boutique houses (ie McKinsey) to Deloitte. High performance culture and expectations.,"Like all big 4 firms in Australia, REM includes superannuation (9%). This % must be removed from any salary figure to calculate true salary. Bonuses are discretionary depending on market conditions under the Director band. When paid to junior staff, size of bonus depends on performance rating. Directors and above have formalised bonus structure, dependent again on performance."
174744,Deloitte,2013-02-01, Corporate Finance Manager,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,1.0,4.0,,4.0,3.0,2.0,v,r,r,"Great learning experience, long hours",Fantastic opportunities to tackle numerous and engaging projects. Learned a lot in a very short space of time,"Very long hours (70-80hr weeks) and very little gratitude, financial reward even when after receiving high performance reviews and promotions"
176265,Deloitte,2014-02-11, Analyst,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,4.0,4.0,,3.0,2.0,5.0,v,r,v,Good,"Great culture, very performance driven",Rigid promotion structure highly dependent on headoffice
180003,Deloitte,2015-08-08, Director,Current Employee,"Perth, Western Australia, Western Australia",4,5.0,5.0,,4.0,4.0,4.0,v,v,v,Consulting,Interesting engagements. Opportunity to travel. Great teams.,Often difficult to access the right people and information
180747,Deloitte,2015-10-09, Assistant Audit Manager,"Current Employee, more than 5 years","Victoria, BC",4,3.0,4.0,,4.0,4.0,4.0,v,r,v,Deloitte experience,"Deloitte cultivates international diversity and is willing to hire applicants from all all over the world. Deloitte Abu Dhabi has a wide range of listed and non-listed clients and is one of the largest, if not the largest, auditing firm in the country.","I found the environment of Deloitte Abu Dhabi to be a competitive one. Similar with other auditing firms worldwide, the audit profession is something that one should not take lightly, and in order to progress in the field, one has to understand not only the technical aspect of the profession, but most importantly, one should be able to develop good relationships with people, not only with clients of the company, but also the people within the organization."
184489,Deloitte,2016-09-08, Manager (Financial Advisory),"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,3.0,5.0,,5.0,3.0,4.0,v,o,r,Deloitte Australia,Quality of talent. Constant learning and development. Growth opportunities.,Salaries are not that high compared to the effort you are expected to conduct.
