firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
SAP,44287, Anonymous Employee,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",5,5,5,5,5,5,5,v,v,v,Excellent to work for,"Flexible , pay well, smart and friendly employees, brilliant culture , truly care about the employees and customers, well developed software.","If you don’t have a customer first mindset and only want to sell for the commission, don’t work for SAP"
Sage,43461, Anonymous Employee,"Former Employee, more than 8 years","Perth, Western Australia, Western Australia",1,2,1,,1,1,1,x,o,x,Failed to pay bonus,Not a good place to work,Sage failed to pay previous year's bonus to employees who resigned in the current financial year (worked for 3 months in the new financial year).
Sage,43821, Software Engineer,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",2,2,2,,2,4,2,x,x,x,A good company gone bad.,"•	salary/ wages  are reasonable/ above average.
•	Colleagues I work with directly are friendly/ good to work with.
•	Flexible working conditions i.e. work from home
•	""Seemingly"" trying to resolve internal issues.","•	Under-staffed, under resourced and unreasonable project completion times causing pressures  from ""SLT"" (so-called senior leadership team)  that trickles down. This results in a stressful environment.
•	Focuses on quantity and not quality in the way of projects/ products. 
•	Confused agenda and strategy.
•	Self-interest/ blame  culture -  misaligned priorities (in departments and management) mean everyone is looking out for themselves. 
•	Time- wasting (redundant/ irrelevant meetings, admin tasks that are not meaningful) and bureaucracy (segregation in departments/ services not located locally) adds to difficulty in being productive or effective."
Sage,43944, Programmer,Current Employee,"Perth, Western Australia, Western Australia",1,2,1,,2,3,1,x,r,v,Using power and privilege to exploit their staff in the face of a Pandemic,"Excellent Coffee machine
Friday lunches with colleagues
Parking
Social functions
Flexible working hours","I have worked for sage for over 15 years in the last 5 years the company has become an increasingly toxic work environment. 
Low morale among teams
Very limited product development 
Limited training.
Unrealistic and unattainable goals
Hierarchy of control from SLT
Pretends to encourage Open communication as long as you only say the ‘right thing’
Ridiculous amount of pointless meetings
Too many methods of internal communication resulting in data overload and missed comms.
Since the coronavirus staff have been informed that they will not receive any bonuses or pay increases, which is completely understandably and I agree with. However, Sage Australia have also decided to use the pandemic remove the annual leave liability to company. Staff receive 4 weeks annual leave. 1 week must be taken at Christmas. In face of the CoVid-19 staff are being 'forced' to use at least 2 weeks of their Annual leave during the winter months. This has been done inconspicuously with no official communication from the senior management team. 
Sage needs to start their employees as assets and not liabilities."
Salesforce,44102, Solutions Engineer,Current Employee,"Perth, Western Australia, Western Australia",5,5,5,5,4,4,5,v,v,v,A great remote work experience,"Salesforce really seems to care about its employees. There are loads of great onboarding resources and plenty of support for a remote employee, like me. And the culture, team and enthusiasm are great.","None - seriously! 
Only typical remote worker reduced social interaction with a team who are mainly out of state (particularly over COVID - about structure, not the company), and the common US / San Francisco ""ra ra"" (as with every US company I've worked for)."
Salesforce,44210, Head of Sales,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,great,"fun, energy, ssmart, sassy, fre e food","long hours, small team, resource"
Serco-Group,42608, General Clerk,Former Employee,"Perth, Western Australia, Western Australia",1,2,1,,1,1,1,x,x,x,Worst employer I ever had,"I was able to work by myself and get my work done with minimal interruptions. The majority of people were friendly, except for the brown-nosers and the Management Team",Management continuously gave out mixed signals. Hypocritical and didn't practice what they preached. It was very frustrating working for a company with such high attitudes and no scruples.
Serco-Group,44107, DSO,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",2,2,2,2,2,2,2,x,r,r,....,great money to be earned,Management dont care about you
Serco-Group,44230, Talent Acquisition Advisor,Current Employee,"Perth, Western Australia, Western Australia",4,4,4,4,4,3,4,v,v,v,.,Work life balance. Great opportunities,Ability to work from home.
Serco-Group,44292, Service Officer,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,3,3,4,4,3,3,v,r,v,"Day goes quick, need better pay and hours",Days can go quick when you're not stuck behind a desk.,The company penny pinches when it comes to hours.
Sodexo,43332, headchef,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",1,1,1,,1,1,1,x,x,x,Headchef/catering manager,Nothing everyone I jave come cross says the same old things . Sucks!!,Higher management ONLY cars about them selves.!!poor workers no over time no care factor no actions taken handball all the issues to others. Rubbish waste time working for them
Sodexo,43440, Office Worker,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",2,2,1,,1,2,1,x,r,x,Not a nice experience,My immediate team who were in the same role as me were amazing in every way. I would never have made it to 9 months in the organization without them.,"Middle management was appalling, bullying was rife and HR was disinterested to say the least.

When I started I was informed that the company had an annual training budget per employee per year, however despite me identifying numerous opportunities over the nine months I was there I received zero training or development opportunities.

Sole focus was on reaching targets, regardless of how that was done. There were times were middle management encouraged dubious and unethical behaviour to ensure targets were reached in order for the company to get a bonus.

They claimed to want people who were proactive and think outside the box, but in reality they wanted someone to sit at a desk and tick the box."
Sodexo,44075, Service Attendant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",1,,,,,,,o,o,o,Working,Great resources available and great experience,No support from management during conflict
Sodexo,44101, Data Engineer,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",4,4,4,,4,5,4,v,o,v,Good working experience,Good working environment and team,cant remember a negative note
Sodexo,44112, Anonymous Employee,Former Employee,"Perth, Western Australia, Western Australia",1,1,1,1,1,1,1,x,x,r,Terrible place to work,"Great colleagues, pay ok but masked by very long hours","Absolute vile manager NO people skills. They spoke to me like I was dirt 
No training and expected to know how they handle their business which is concerning to the client if only they knew.
Don't work here if you don't want to be spoken to and treated like a dog. 
Very unprofessional for such a multi national"
Sodexo,44143, Chef De Parties,Former Employee,"Perth, Western Australia, Western Australia",1,2,3,3,2,3,1,x,r,r,Sodexo review,"not bad salary
Good for work / exercise routine","poor management
Remote work
poor internet
small rooms"
Sodexo,44175, Engineer,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",2,2,1,3,3,2,1,x,x,x,Sodexo review,Big company Multi National Company,Lack of leadership and Business plan
Sodexo,44285, Service Attendant,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",3,2,4,5,3,3,4,v,r,r,entry level fifi via catering,exposure to remote sites and communities,only cons would be the low income and limited options for roster
Sodexo,44298, Health and Wellness Coach,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,1,3,3,2,1,1,x,o,o,Wouldn't recommend,Great work crew thats about it!,"Salary, Little support or structure, Roster"
Sodexo,44320, Senior Management Accountant,Current Employee,"Perth, Western Australia, Western Australia",5,5,5,5,5,2,5,v,o,v,,Global Presence around the world,Turnover of Personnel rather high
Sodexo,44322, Customer Service Attendant,Current Employee,"Perth, Western Australia, Western Australia",3,1,3,3,2,2,2,x,o,o,It’s ok,Good team to work with,Not a family friendly roster
Specsavers,42880, Optical Assistant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,5,4,,5,3,4,v,r,v,Lots to learn in an interesting job,Excellent career development program. Engaging with regular customers and helping them get the most out of their optical benefit. It's interesting if you're into healthcare and helping people overcome their medical problems.,"Most stores in WA are franchises so there is a large descrepancy between how stores are run, wages, bounuses etc."
Specsavers,44071, Optometrist,Current Employee,"Perth, Western Australia, Western Australia",4,,4,,,,,v,r,v,First job in this field,Good starting point into the industry,Better pay at different companies and difficult to specialise in different areas
Specsavers,44143, Optical Assistant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",3,3,3,4,4,4,2,v,r,r,A fast paced and sometimes challenging job,"Great incentives, good team environments, annual balls.",Being held liable for poor quality frames by customers.
Specsavers,44163, Manager,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",2,3,3,4,3,2,3,v,o,v,Manager,Great team environment to work with,Can be quite repetitive doing the same thing every day
Specsavers,44291, Optical Assistant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3,3,5,4,4,4,v,v,v,If you find the right store and the right partners it's a great work environment,"2 free pairs of glasses every year, great friends & family discounts.
Lovely & supportive team members.
Lots of room to grow if you're interested in self-development.","Specsavers stores are franchises so work environment can be very different. I've worked in a branch that was so awful and toxic. Store partners encouraged gossiping, enabled unprofessional behaviour, and were underpaying staff. In addition, the partners only cared about making money and would understaff the shop floor on purpose to make it more ""fun"" for everyone."
Tesco,42538, Cashier,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,5,3,,1,4,2,v,o,o,Management issues,"Extra shifts available 
Pay 
Good training","Management are constantly changing 
They take advantage of hard workers whilst the lay staff get away with not doing much"
The-Salvation-Army,42367, Recruiter/Manager,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",1,2,1,,1,1,1,x,o,x,Not the place if you want to make a difference,"Worked with some excellent people who did actually want to help.
Will receive enjoyment from your role if are motivated by the stress of unrealistic expectations.","Disconnect from management to the people actually doing the work.
Priorities are not to help clientele but to service the government contract.
Candidates forced into programs that provide no benefit to gaining employment.
Mission statement/ values do not align to the reality of what management expect of their employees.
Remuneration is well below industry standards."
The-Salvation-Army,42969, Case Manager,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",2,4,3,,2,1,3,x,r,x,Case Manager,Helping the needy with emergency services,"Low salary, positions are supported by donations. if donations low, position hours are cut or deleted."
The-Salvation-Army,43002, Site Manager,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",1,1,1,,1,1,1,x,o,x,Unbelievable,With the right senior management it could go a long way,"Current senior management in WA and further up there is so much ""targeting"" for their own mistakes"
The-Salvation-Army,43020, Recruiter,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",1,1,1,,1,2,1,x,o,x,Bullying and Harassment Culture Perth,"Salary packaging, NFP COMMUNITY BASED","If you are bright and genuinely care about people and moving them forward from welfare to work DO NOT join this organisation.  Employment Plus espouse their Christian Values, unfortunately, this is all lip-service! The culture seems to be the same throughout the organisation, that of bullying and harassment and the management team will not take too lightly if you show ""outside the box"" thinking, initiative, and passion for your role, they tend to feel threatened (as most Senior Management would not be able to find employment anywhere else due to their lack of ability to lead, inspire and motivate teams).  Most employment consultants lack the required training and are so stressed out due to short-staffing issues and most lack the basic skill-set to work in a highly compliant industry (the Department of Employment should conduct some audits they would be horrified)  That is why they will always be a one-star Job Active Provider in WA.  Not a nice environment to work in."
The-Salvation-Army,43051, Retail Sales Assistant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4,5,,2,2,3,v,v,v,Retail Assistant,"I really enjoyed helping customers, find a great bargain and feel welcome.","Constantly training up new volunteer staff, only for them to not come back the next week/day."
The-Salvation-Army,43559, Support Worker,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",2,2,1,,1,1,1,o,o,o,Poor Management,0,"- Poor management in all areas  
- Managers  would  hire ‘friends’ or someone they knew, not hire people based on skill set
- No  room for professional development"
Topshop,42189, Sales Assistant,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",1,1,1,,1,1,1,x,x,x,Company the worst,I can't think of any pros to working for Topshop.,"Worst employer I have ever worked for, some of the conduct by managment and senior staff as well as from the company is downright illegal.
- Part time staff forced to resign contracts at lower hours
- Casuals forced out of their jobs by being given zero hours for 3 months
- Made up excuses to fire full time contract employees
- Refusing to allow sick staff to take leave or go home
- Changing staff hours at a moments notice and bullying staff into accepting changed hours"
Topshop,42426, Anonymous Employee,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",1,1,1,,3,1,1,x,r,x,Don't bother,"Staff discount, that's it, that is literally all there is.","1. Hardly any training for those looking to move up in the company
2. Rushed decisions leading to staff feeling stressed and upset (minimal concern from management)
3. Nit picky excuses to give staff the flick when budgets are tough after hiring too many staff over peak periods
4. Will find any excuse to put blame back onto staff for their sick days even when doctors note has been provided, one case noted where an employee had a sick day taken from annual leave instead even with doctor's note
5. No incentives, inspiration or drive given to employees"
Virgin-Media,43952, Engineer,Current Employee,"Perth, Western Australia, Western Australia",3,3,3,,3,3,3,v,r,r,Engineer,"great place to work, enjoy fix","long hours, call ins, travel"
Vodafone,43136, Sales Representative,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,v,v,Sales Representative,is very good and  professional company.,"customer service 
 achieving sales targets and KPI’s"
Vodafone,43850, Sales,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",2,2,3,,1,2,1,o,o,o,Sales,Good colleagues to work with,"Commission is not great, bosses are a handful, sales pressure is very intense, have to work more than you get paid for"
Vodafone,44043, Sales Associate,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5,4,,4,5,5,v,v,v,Amazing place to work,"💪 flexibility with studies 
Good commission structure",Stressful environment when dealing with consumer dissatisfaction (rarely)
Vodafone,44054, Logistics Coordinator,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Good amount of skills to learn,Enhance your communication with stakeholders,Will have to look into many discrepencies
Vodafone,44075, Sales Consultant,Former Employee,"Perth, Western Australia, Western Australia",2,3,3,,2,2,2,v,v,v,high pressure,getting to work in telco industry and working with phones,enormous pressure of sales and continuous pressure for achieving target.
Vodafone,44285, Sales Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,3,4,5,3,4,4,o,o,o,Work life experience,"Great team 
Great managers 
Lot of support and space to make mistakes",Hard to take annual leave sometime
WHSmith,44103, Part Time Sales Associate,Current Employee,"Perth, Western Australia, Western Australia",5,2,5,,5,5,5,v,o,v,Love it,"Love working with the staff, extremely friendly and flexible.",the hours can become a bit much
Willis-Towers-Watson,43118, Senior Consultant,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",2,1,2,,3,1,3,x,r,r,Senior Consultant,"good learning experience，so I can learn more new knowledge and methodology. WTW has many key clients in different industries, people in WTW are able to touch a lot of industry insights","low salary and heavy workload. I am busy on very heavy job but get very low salary increase every year. Many head hunters contact me, offering higher offers and better chances of career development."
Willis-Towers-Watson,43928, Business Development Manager,Former Employee,"Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,v,v,awesome to work for,"great company benefits, lots of resources available to employees to do their work",lag in communication between branch offices in different countries
Workday,44239, Anonymous Employee,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",5,4,5,5,5,5,5,v,o,v,Keep doing what you are doing!,"Workday is extremely flexible and is a company that understands the needs of the employee. No plans to leave, I want to retire from Workday.",Nothing I can think of now
Workday,44239, Senior Associate Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5,5,5,5,5,5,v,v,v,Best company in the world.,Workday is one of the few companies that actually practices what they preach. I was skeptical at their promises going through the recruitment process but my experience has delivered on all of them plus more. We have a ton of support in every direction at Workday and the focus really is on the employees which is a great feeling to have.,We are remote now due to Covid which is the only downside.
Workday,44243, Senior Financial Consultant,Current Employee,"Perth, Western Australia, Western Australia",5,5,5,5,5,5,5,v,v,v,Great company to build a career,Lots a room to learn,Sometimes information doesn't trickle down.
